[Performance] 2025-03-24 09:56:20: 9365220 bytes/s, 74921760 bps, 180 fps
[Performance] 2025-03-24 09:56:21: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:22: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:23: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:24: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:25: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:26: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:27: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:28: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 09:56:29: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:30: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 09:56:31: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:32: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:33: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:34: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:35: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:36: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:56:37: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 09:56:38: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:39: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:40: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:41: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:56:42: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:43: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 09:56:44: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:45: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:46: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:47: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:48: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 09:56:49: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:50: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:51: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:52: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:53: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:54: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:56:55: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:56: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 09:56:57: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:56:58: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:56:59: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:00: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 09:57:01: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:02: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:03: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:57:04: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:05: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:06: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:07: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:08: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:09: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:10: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:11: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:12: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:13: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:14: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:15: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:16: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 09:57:17: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:18: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:57:19: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:20: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:21: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 09:57:22: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:23: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:24: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:25: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:57:26: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 09:57:27: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:28: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:29: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:57:30: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:31: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:32: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:33: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:34: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:35: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:36: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:37: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:57:38: 6243480 bytes/s, 49947840 bps, 120 fps
