[Performance] 2025-03-24 10:36:21: 5619132 bytes/s, 44953056 bps, 108 fps
[Performance] 2025-03-24 10:36:22: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:36:23: 3069711 bytes/s, 24557688 bps, 59 fps
[Performance] 2025-03-24 10:36:24: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:36:25: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:36:26: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:36:27: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:36:37: 2965653 bytes/s, 23725224 bps, 57 fps
[Performance] 2025-03-24 10:36:38: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:36:39: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:36:40: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:36:41: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:36:42: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:36:43: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:36:44: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:36:45: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:36:46: 3121740 bytes/s, 24973920 bps, 60 fps
[Performance] 2025-03-24 10:36:47: 3121740 bytes/s, 24973920 bps, 60 fps
